id,price_preview,created_at,city,spec_Etat,model_name,DEDICATED_GPU,CPU,RAM_SIZE,SSD_SIZE,HDD_SIZE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,RAM_TYPE,norm_cpu
14114,42000.0,2025 07 24T09:00:02.000Z,ALGER CENTRE,,VIVOBOOK,,INTEL PENTIUM GOLD 5405U,4GB,,,14.0,60Hz,FHD,DDR4,pentium gold 5405u
14115,42000.0,2025 07 09T14:01:04.000Z,BOUMEDFAA,,LATITUDE,,INTEL CORE I7 6600U,8GB,250GB,,41.0,,,,i7 6600u
14116,42000.0,2025 08 02T09:02:19.000Z,MOSTAGANEM,BON TAT,MACBOOK,NVIDIA GEFORCE GT 650,INTEL CORE I7 3615QM,16GB,512GB,,15.0,,,,i7 3615qm
14117,42000.0,2025 08 09T19:21:48.000Z,RAIS HAMIDOU,BON TAT,MACBOOK,NVIDIA GEFORCE GT 650,INTEL CORE I7,8GB,256GB,,15.4,,2880x1800,DDR3,i7
14118,42000.0,2025 07 24T10:28:00.000Z,EZZOUAR,BON TAT,LATITUDE,,INTEL CORE I5 8350U,8GB,256GB,,13.3,,,,i5 8350u
14119,42000.0,2024 08 14T19:50:26.000Z,TISSEMSILT,BON TAT,LATITUDE,,INTEL CORE I5 8250U,8GB,256GB,,14.0,,,,i5 8250u
14120,42000.0,2024 07 15T11:45:32.000Z,EZZOUAR,MOYEN,MACBOOK,,INTEL CORE I5 7360U,8GB,128GB,,13.0,,,,i5 7360u
14121,42000.0,2025 05 25T12:00:47.000Z,AIN BENIAN,,VIVOBOOK,,INTEL CORE I5 7200U,8GB,256GB,,14.0,,,,i5 7200u
14122,42000.0,2024 09 14T07:32:34.000Z,HAIZER,,THINKPAD,,INTEL CORE I5 6300U,8GB,256GB,,14.0,,,DDR4,i5 6300u
14123,42000.0,2024 08 13T17:20:50.000Z,BORDJ EL KIFFAN,,THINKPAD,,INTEL CORE I5 6300U,8GB,,,,,,,i5 6300u
14124,42000.0,2025 08 03T14:30:28.000Z,KOUBA,BON TAT,XPS,,INTEL CORE I5 6200U,8GB,256GB,,13.3,,1920x1080,LPDDR3,i5 6200u
14125,42000.0,2024 09 26T09:26:58.000Z,ORAN,BON TAT,ELITEBOOK,,INTEL CORE I5 6200U,8GB,,,,,,,i5 6200u
14126,42000.0,2025 02 23T13:15:01.000Z,EZZOUAR,BON TAT,MACBOOK,,INTEL CORE I5 5350U,8GB,128GB,,13.3,,1440x900,LPDDR3,i5 5350u
14127,42000.0,2024 07 31T13:23:57.000Z,EZZOUAR,,MACBOOK,,INTEL CORE I5 5350U,8GB,128GB,,13.0,,,,i5 5350u
14128,42000.0,2025 08 09T15:19:32.000Z,EZZOUAR,BON TAT,MACBOOK,,INTEL CORE I5 5250U,4GB,256GB,,13.3,,1440x900,,i5 5250u
14129,42000.0,2025 08 09T13:21:41.000Z,EZZOUAR,,MACBOOK,,INTEL CORE I5 4250U,4GB,128GB,,13.0,,,,i5 4250u
14130,42000.0,2022 07 29T03:35:41.000Z,BOUMERDES,BON TAT,ELITEBOOK,,INTEL CORE I5 2520M,6GB,,300GB,,,,,i5 2520m
14131,42000.0,2021 01 13T16:48:29.000Z,TEBESSA,,ASPIRE,,INTEL CORE I5 2450P,4GB,512GB,,15.0,,,,i5 2450p
14132,42000.0,2024 08 13T12:48:52.000Z,CHLEF,,ASPIRE,,INTEL CORE I5,8GB,256GB,,14.0,,,,i5
14133,42000.0,2025 08 07T10:09:47.000Z,EZZOUAR,,MACBOOK,,INTEL CORE I5,4GB,128GB,,13.0,,,,i5
14134,42000.0,2024 08 27T11:44:14.000Z,AIN TAYA,BON TAT,MACBOOK,,INTEL CORE I5,4GB,,,,,,,i5
14135,42000.0,2024 08 30T15:31:40.000Z,,BON TAT,MACBOOK,,INTEL CORE I5,4GB,,,,,,,i5
14136,42000.0,2025 04 09T11:58:14.000Z,EZZOUAR,BON TAT,MACBOOK,,INTEL CORE I5,8GB,128GB,,13.0,,,,i5
