id,price_preview,created_at,city,spec_Etat,model_name,DEDICATED_GPU,CPU,RAM_SIZE,SSD_SIZE,HDD_SIZE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,RAM_TYPE,mapped_cpu_name,match_score,cores,cpu_mark,tdp,gpu_name,match_type
8217,92000.0,2025 08 09T09:27:50.000Z,EZZOUAR,,LATITUDE,,11TH GEN INTEL CORE I7 1165G7,16GB,512GB,,14.0,360Hz,1920x1080,,Intel Core i7-1165G7 @ 2.80GHz,69.23076923076923,4,"9,839",15.0,Intel Iris Xe Graphics,fuzzy
8218,92000.0,2025 08 07T12:52:32.000Z,EZZOUAR,BON TAT,ELITEBOOK,,11TH GEN INTEL CORE I7 1165G7,16GB,512GB,,14.0,,,,Intel Core i7-1165G7 @ 2.80GHz,69.23076923076923,4,"9,839",15.0,Intel Iris Xe Graphics,fuzzy
8219,92000.0,2024 08 21T10:21:26.000Z,EZZOUAR,BON TAT,PROBOOK,,11TH GEN INTEL CORE I7 1165G7,16GB,512GB,,14.0,,,,Intel Core i7-1165G7 @ 2.80GHz,69.23076923076923,4,"9,839",15.0,Intel Iris Xe Graphics,fuzzy
8220,92000.0,2024 10 19T12:44:13.000Z,EZZOUAR,,VIVOBOOK,,11TH GEN INTEL CORE I7 1165G7,16GB,512GB,,14.0,,,,Intel Core i7-1165G7 @ 2.80GHz,69.23076923076923,4,"9,839",15.0,Intel Iris Xe Graphics,fuzzy
8221,92000.0,2025 03 26T11:10:22.000Z,EZZOUAR,BON TAT,THINKPAD,,11TH GEN INTEL CORE I7 1165G7,16GB,512GB,,15.0,,1920x1080 FHD,,Intel Core i7-1165G7 @ 2.80GHz,69.23076923076923,4,"9,839",15.0,Intel Iris Xe Graphics,fuzzy
8222,92000.0,2024 09 03T12:08:49.000Z,ALGER CENTRE,JAMAIS UTILIS,LATITUDE,,11TH GEN INTEL CORE I5 1145G7,8GB,256GB,,13.3,,1920x1080 FHD,DDR4X,Intel Core i5-1145G7 @ 2.60GHz,69.23076923076923,4,"9,257",28.0,Intel Iris Xe Graphics,fuzzy
8223,92000.0,2025 07 10T09:04:59.000Z,EZZOUAR,,ELITEBOOK,,11TH GEN INTEL CORE I5 1145G7,16GB,512GB,,14.0,,,,Intel Core i5-1145G7 @ 2.60GHz,69.23076923076923,4,"9,257",28.0,Intel Iris Xe Graphics,fuzzy
8224,92000.0,2025 07 30T12:20:46.000Z,EZZOUAR,BON TAT,ELITEBOOK,,11TH GEN INTEL CORE I5 1145G7,16GB,256GB,,14.0,,,DDR4,Intel Core i5-1145G7 @ 2.60GHz,69.23076923076923,4,"9,257",28.0,Intel Iris Xe Graphics,fuzzy
8225,92000.0,2025 05 01T11:12:37.000Z,BIRKHADEM,,ELITEBOOK,,11TH GEN INTEL CORE I5 1145G7,16GB,512GB,,13.3,,1920x1080 FHD,DDR4,Intel Core i5-1145G7 @ 2.60GHz,69.23076923076923,4,"9,257",28.0,Intel Iris Xe Graphics,fuzzy
8226,92000.0,2024 07 17T10:26:26.000Z,EZZOUAR,,ELITEBOOK,,11TH GEN INTEL CORE I5 1145G7,16GB,256GB,,14.0,,1920x1080,DDR4,Intel Core i5-1145G7 @ 2.60GHz,69.23076923076923,4,"9,257",28.0,Intel Iris Xe Graphics,fuzzy
8227,92000.0,2025 02 10T11:24:05.000Z,EZZOUAR,BON TAT,THINKPAD,,11TH GEN INTEL CORE I5 1145G7,16GB,256GB,,14.0,,1920x1080 FHD,,Intel Core i5-1145G7 @ 2.60GHz,69.23076923076923,4,"9,257",28.0,Intel Iris Xe Graphics,fuzzy
8228,92000.0,2024 11 10T08:37:11.000Z,EZZOUAR,BON TAT,THINKPAD,,11TH GEN INTEL CORE I5 1145G7,16GB,512GB,,13.0,,,,Intel Core i5-1145G7 @ 2.60GHz,69.23076923076923,4,"9,257",28.0,Intel Iris Xe Graphics,fuzzy
8229,92000.0,2025 05 14T11:25:35.000Z,EZZOUAR,BON TAT,THINKPAD,,11TH GEN INTEL CORE I5 1145G7,16GB,256GB,,14.0,,,,Intel Core i5-1145G7 @ 2.60GHz,69.23076923076923,4,"9,257",28.0,Intel Iris Xe Graphics,fuzzy
8230,92000.0,2025 04 20T13:36:57.000Z,ALGER CENTRE,JAMAIS UTILIS,THINKPAD,,11TH GEN INTEL CORE I5 1145G7,16GB,256GB,,14.0,,1920x1080,DDR4X,Intel Core i5-1145G7 @ 2.60GHz,69.23076923076923,4,"9,257",28.0,Intel Iris Xe Graphics,fuzzy
8231,92000.0,2024 10 03T18:42:40.000Z,ALGER CENTRE,JAMAIS UTILIS,PROBOOK,,11TH GEN INTEL CORE I5 1135G7,16GB,256GB,,15.6,,1920x1080,DDR4X,Intel Core i5-1135G7 @ 2.40GHz,69.23076923076923,4,"9,399",15.0,Intel Iris Xe Graphics,fuzzy
8232,92000.0,2025 03 24T08:32:07.000Z,EZZOUAR,,ELITEBOOK,,11TH GEN INTEL CORE I5 1135G7,16GB,256GB,,14.0,,,DDR4,Intel Core i5-1135G7 @ 2.40GHz,69.23076923076923,4,"9,399",15.0,Intel Iris Xe Graphics,fuzzy
8233,92000.0,2025 05 27T11:57:20.000Z,EZZOUAR,,SURFACE,,11TH GEN INTEL CORE I5 1135G7,,,,,,,,Intel Core i5-1135G7 @ 2.40GHz,69.23076923076923,4,"9,399",15.0,Intel Iris Xe Graphics,fuzzy
8234,92000.0,2025 05 21T11:26:55.000Z,BEJAIA,BON TAT,THINKBOOK,,11TH GEN INTEL CORE I5 1135G7,8GB,256GB,,15.0,,,,Intel Core i5-1135G7 @ 2.40GHz,69.23076923076923,4,"9,399",15.0,Intel Iris Xe Graphics,fuzzy
8235,92000.0,2025 03 08T13:54:43.000Z,REGHAIA,,GALAXY,,11TH GEN INTEL CORE I5,8GB,256GB,,,,,,Intel Core i5-1135G7 @ 2.40GHz,100.0,4,"9,399",15.0,Intel Iris Xe Graphics,generic->common (11TH GEN INTEL CORE I5)
8236,92000.0,2024 09 14T08:15:53.000Z,MOHAMMADIA,BON TAT,YOGA,,11TH GEN INTEL CORE I5,16GB,256GB,,13.3,,,,Intel Core i5-1135G7 @ 2.40GHz,100.0,4,"9,399",15.0,Intel Iris Xe Graphics,generic->common (11TH GEN INTEL CORE I5)
8237,92000.0,2024 08 31T12:22:59.000Z,EZZOUAR,BON TAT,IDEAPAD,NVIDIA GEFORCE MX330,10TH GEN INTEL CORE I7 1065G7,16GB,256GB,,15.0,,,,Intel Core i7-1065G7 @ 1.30GHz,74.28571428571428,4,"8,135",15.0,Intel Iris Plus Graphics,fuzzy
8238,92000.0,2025 07 21T13:17:49.000Z,ALGER CENTRE,BON TAT,LATITUDE,,10TH GEN INTEL CORE I7 10610U,16GB,512GB,,14.0,,,DDR4,Intel Core i7-10610U @ 1.80GHz,74.28571428571428,4,"6,579",15.0,Intel UHD Graphics,fuzzy
8239,92000.0,2025 05 21T11:26:49.000Z,BEJAIA,,ELITEBOOK,,10TH GEN INTEL CORE I7 10610U,16GB,512GB,,13.0,,,,Intel Core i7-10610U @ 1.80GHz,74.28571428571428,4,"6,579",15.0,Intel UHD Graphics,fuzzy
8240,92000.0,2025 01 26T22:57:46.000Z,DELY BRAHIM,,ZENBOOK,NVIDIA GEFORCE MX250,10TH GEN INTEL CORE I7 10510U,16GB,512GB,,13.3,,,,Intel Core i7-10510U @ 1.80GHz,74.28571428571428,4,"6,394",15.0,Intel UHD Graphics,fuzzy
8241,92000.0,2024 10 26T20:54:29.000Z,EZZOUAR,BON TAT,THINKPAD,,10TH GEN INTEL CORE I7 10510U,16GB,512GB,,14.0,,1920x1080,,Intel Core i7-10510U @ 1.80GHz,74.28571428571428,4,"6,394",15.0,Intel UHD Graphics,fuzzy
8242,92000.0,2025 08 05T14:10:24.000Z,EZZOUAR,BON TAT,THINKPAD,,10TH GEN INTEL CORE I7 10510U,16GB,512GB,,14.0,,1920x1080,,Intel Core i7-10510U @ 1.80GHz,74.28571428571428,4,"6,394",15.0,Intel UHD Graphics,fuzzy
8243,92000.0,2025 06 26T09:35:30.000Z,ALGER CENTRE,BON TAT,INSPIRON,NVIDIA GEFORCE MX230,10TH GEN INTEL CORE I5 1065G7,8GB,256GB,,15.6,,1920x1080,DDR4,Intel Core i7-1065G7 @ 1.30GHz,68.57142857142857,4,"8,135",15.0,Intel Iris Plus Graphics,fuzzy
8244,92000.0,2025 05 08T11:38:10.000Z,KOUBA,BON TAT,ELITEBOOK,,10TH GEN INTEL CORE I5 10310U,16GB,512GB,,15.6,,1920x1080 FHD,DDR4,Intel Core i5-10310U @ 1.70GHz,74.28571428571428,4,"5,884",15.0,Intel UHD Graphics,fuzzy
