id,price_preview,created_at,city,spec_Etat,model_name,DEDICATED_GPU,CPU,RAM_SIZE,SSD_SIZE,HDD_SIZE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,RAM_TYPE,mapped_cpu_name,match_score,cores,cpu_mark,tdp,gpu_name,match_type,gpu_match_score,gpu_g3d_mark,gpu_g2d_mark,gpu_tdp,is_generic_cpu,cpu_generation,cpu_tier,mapped_cpu_tier,inference_level
1398,250000.0,2025 05 26T11:07:07.000Z,BORDJ MENAIEL,BON TAT,MACBOOK,APPLE 16-CORE GPU,APPLE M2 PRO,16GB,1TB,,14.2,,3024x1964,,Apple M2 Pro 10 Core 3480 MHz,100.0,10.0,"21,952",22.0,Apple 19-core GPU,fuzzy_tier_validated,85.71428571428571,15000,500,15.0,False,,,,
1399,250000.0,2025 03 20T23:35:48.000Z,TEBESSA,,MACBOOK,,APPLE M2 PRO,16GB,512GB,,14.0,,,,Apple M2 Pro 10 Core 3480 MHz,100.0,10.0,"21,952",22.0,Apple 19-core GPU,fuzzy_tier_validated,100.0,15000,500,15.0,False,,,,
1400,250000.0,2025 06 05T10:30:31.000Z,KOUBA,BON TAT,MACBOOK,,APPLE M2 PRO,16GB,512GB,,14.0,,,,Apple M2 Pro 10 Core 3480 MHz,100.0,10.0,"21,952",22.0,Apple 19-core GPU,fuzzy_tier_validated,100.0,15000,500,15.0,False,,,,
1401,250000.0,2023 12 09T12:55:34.000Z,EZZOUAR,JAMAIS UTILIS,MACBOOK,APPLE 10-CORE GPU,APPLE M2,8GB,256GB,,13.3,,,,Apple M2 8 Core 3500 MHz,100.0,4.0,"15,646",22.0,Apple 19-core GPU,fuzzy_tier_validated,85.71428571428571,15000,500,15.0,False,,,,
1402,250000.0,2025 07 19T14:35:01.000Z,AIN OULMENE,,MACBOOK,,APPLE M1 PRO,16GB,512GB,,14.0,,,,Apple M1 Pro 10 Core 3200 MHz,100.0,8.0,"21,916",30.0,Apple 19-core GPU,fuzzy_tier_validated,100.0,15000,500,15.0,False,,,,
1403,250000.0,2025 07 18T18:15:22.000Z,BARAKI,,MACBOOK,,APPLE M1 PRO,16GB,512GB,,16.0,,,,Apple M1 Pro 10 Core 3200 MHz,100.0,8.0,"21,916",30.0,Apple 19-core GPU,fuzzy_tier_validated,100.0,15000,500,15.0,False,,,,
1404,250000.0,2025 04 05T16:53:16.000Z,BOU HAROUN,,MACBOOK,,APPLE M1,16GB,512GB,,14.0,,,,Apple M1 8 Core 3200 MHz,100.0,4.0,"14,133",15.1,Apple 19-core GPU,fuzzy_tier_validated,100.0,15000,500,15.0,False,,,,
1405,250000.0,2025 05 31T10:00:01.000Z,EZZOUAR,,TUF,NVIDIA GEFORCE RTX 4060,AMD RYZEN 9 7940H,16GB,512GB,,15.6,165Hz,2K,DDR5,AMD Ryzen 9 7940H,100.0,8.0,"29,168",54.0,GeForce RTX 4060,fuzzy_tier_validated,100.0,"19,538","1,040",115.0,False,,ryzen9,ryzen9,
1406,250000.0,2025 02 13T07:40:44.000Z,SKIKDA,,NITRO,NVIDIA GEFORCE RTX 3080,AMD RYZEN 9 5900HX,32GB,1TB,,15.5,240Hz,,,AMD Ryzen 9 5900HX,100.0,8.0,"22,145",45.0,GeForce RTX 3080,fuzzy_tier_validated,100.0,"25,042","1,062",320.0,False,,ryzen9,ryzen9,
1407,250000.0,2025 07 31T16:20:29.000Z,EL EULMA,BON TAT,ROG,NVIDIA GEFORCE RTX 3070,AMD RYZEN 9 5900HS,16GB,1TB,,15.0,,,,AMD Ryzen 9 5900HS,100.0,8.0,"21,154",35.0,GeForce RTX 3070,fuzzy_tier_validated,100.0,"22,150","1,004",220.0,False,,ryzen9,ryzen9,
1408,250000.0,2024 11 25T17:36:12.000Z,EZZOUAR,,ROG,NVIDIA GEFORCE RTX 3060,AMD RYZEN 9 5800HX,16GB,1TB,,17.0,144Hz,1920x1080,DDR4,AMD Ryzen 9 5900HX,94.44444444444444,8.0,"22,145",45.0,GeForce RTX 3060 12GB,fuzzy_tier_validated,100.0,"16,758",966,170.0,False,,ryzen9,ryzen9,
1409,250000.0,2025 06 12T11:08:28.000Z,AIN NAADJA,JAMAIS UTILIS,VICTUS,NVIDIA GEFORCE RTX 4060,AMD RYZEN 7 8845H,16GB,1TB,,15.6,144Hz,FHD,DDR5,AMD Ryzen 7 8845H,100.0,8.0,"26,928",45.0,GeForce RTX 4060,fuzzy_tier_validated,100.0,"19,538","1,040",115.0,False,,ryzen7,ryzen7,
1410,250000.0,2024 07 20T10:11:30.000Z,EZZOUAR,JAMAIS UTILIS,INSPIRON,NVIDIA GEFORCE RTX 4060,AMD RYZEN 7 7840HS,16GB,512GB,,15.6,165Hz,Full HD,DDR5,AMD Ryzen 7 7840HS,100.0,8.0,"28,487",54.0,GeForce RTX 4060,fuzzy_tier_validated,100.0,"19,538","1,040",115.0,False,,ryzen7,ryzen7,
1411,250000.0,2025 05 04T04:58:11.000Z,SOUIDANIA,,ROG,,AMD RYZEN 7 5800HS,32GB,1TB,,14.0,120Hz,,,AMD Ryzen 7 5800HS,100.0,8.0,"19,476",35.0,AMD Radeon Graphics,fuzzy_tier_validated,100.0,400,160,25.0,False,,ryzen7,ryzen7,
1412,250000.0,2025 05 18T22:14:39.000Z,BIR MOURAD RAIS,,LEGION,NVIDIA GEFORCE RTX 3060,AMD RYZEN 5 5600H,16GB,512GB,1TB,16.0,120Hz,1920x1080,,AMD Ryzen 5 5600H,100.0,6.0,"16,492",45.0,GeForce RTX 3060 12GB,fuzzy_tier_validated,100.0,"16,758",966,170.0,False,,ryzen5,ryzen5,
1413,250000.0,2021 09 25T13:39:58.000Z,ORAN,BON TAT,ASPIRE,NVIDIA GEFORCE GTX 1080,7TH GEN INTEL CORE I7,16GB,256GB,1TB,,,,,Intel Core i7-7500U @ 2.70GHz,100.0,3.0,5495,36.5,GeForce GTX 1080,generic (based on 10 CPUs),100.0,"15,614",888,180.0,False,7,i7,i7,4.0
1414,250000.0,2020 12 23T14:55:00.000Z,HASSI MESSAOUD,BON TAT,LATITUDE,,6TH GEN INTEL CORE I5 6300U,8GB,250GB,,11.0,,,,Intel Core i5-6300U @ 2.40GHz,68.75,2.0,"3,203",15.0,Intel HD Graphics 520,fuzzy_tier_validated,100.0,400,150,25.0,False,6,i5,i5,
