gpu_name,g3d_mark,g2d_mark,tdp(w)
Radeon RX 5600 XT,13422,871,150
Radeon RX 5600 OEM,12350,828,0
Radeon RX 5600,11753,888,150
Radeon RX 560,3684,486,80
Radeon RX 550X,2362,416,50
Radeon RX 5500M,5997,414,85
Radeon RX 5500 XT,9078,777,130
Radeon RX 5500,8844,763,150
Radeon RX 550,2681,477,50
Radeon RX 540,2149,330,0
Radeon RX 5300M,5126,383,85
Radeon RX 5300,7606,710,100
Radeon RX 480,8539,772,150
Radeon RX 470/570,7928,724,120
Radeon RX 460,4101,584,75
